ประทับเวลา,ประเภทของร้านค้า,ราคาขายเฉลี่ยต่อแก้ว (บาท)  / กรอกตัวเลข,ปริมาณที่ขายได้ต่อแก้วในแต่ละวัน / กรอกตัวเลข  *,ลักษณะการซื้อไซรัปของท่าน เป็นแบบใด,ช่วงราคาไซรัปเฉลี่ยต่อขวดที่เหมาะสมอยู่ที่ช่วงใด / ให้เลือก 2 ข้อ ต่ำสุด และราคาสูงสุด หากเลือกอื่นๆ ให้ระบุเป็นตัวเลข,ร้านค้าออนไลน์ร้านใดที่ท่านซื้อไซรัป /ตอบได้หลายข้อ,ร้านค้าออฟไลน์ร้านใดที่ท่านซื้อไซรัป / ตอบได้หลายข้อ,เพราะอะไรถึงซื้อที่นั่น / ตอบได้หลายข้อ,ซื้อแบรนด์ไหนเป็นหลัก /เลือก 2 อันดับ,อิทธิพลต่อการตัดสินใจซื้อ /เลือกได้หลายข้อ,หากมีพรีเซนเตอร์เป็น LGBTQ คุณอยากให้เป็นคนกลุ่มไหน,ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [รสชาติ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [กลิ่น],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ราคา],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ขนาดและปริมาณต่อขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความแข็งแรงของขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความเข้มข้น],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [สี],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสะดวกในการใช้ เช่น เท ปั้ม ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสะดวกในการตวง วัด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การบอกขั้นตอนการใช้งาน],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การให้ข้อมูลผลิตภัณฑ์ เช่นส่วนผสม],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [จำนวนวันหมดอายุ],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [ความสวยงามของขวด],ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ [การออกแบบกลิ่น/รสใหม่ๆ],ข้อเสนอแนะอื่นๆ  ,เส้นทางสำรวจ,ข้อเสนอแนะด้านคุณสมบัติของผลิตภัณฑ์ (รสชาติ),,อิทธิพลต่อการตัดสินใจซื้อ [-	PC (พนักงานขาย)],อิทธิพลต่อการตัดสินใจซื้อ [-	ชื่อเสียงของร้านที่ซื้อ],อิทธิพลต่อการตัดสินใจซื้อ [-	บรรจุภัณฑ์สวย],อิทธิพลต่อการตัดสินใจซื้อ [-	ทดลองชิม],อิทธิพลต่อการตัดสินใจซื้อ [-	ป้ายโฆษณา],อิทธิพลต่อการตัดสินใจซื้อ [-	TV],อิทธิพลต่อการตัดสินใจซื้อ [-	social media (3 อันดับ)],อิทธิพลต่อการตัดสินใจซื้อ [-	อินฟลู],อิทธิพลต่อการตัดสินใจซื้อ [-	ลูกค้า (ปากต่อปาก)],อิทธิพลต่อการตัดสินใจซื้อ [PC (พนักงานขาย)],อิทธิพลต่อการตัดสินใจซื้อ [ชื่อเสียงของร้านที่ซื้อ],อิทธิพลต่อการตัดสินใจซื้อ [บรรจุภัณฑ์สวย],อิทธิพลต่อการตัดสินใจซื้อ [ทดลองชิม],อิทธิพลต่อการตัดสินใจซื้อ [ป้ายโฆษณา],อิทธิพลต่อการตัดสินใจซื้อ [TV],อิทธิพลต่อการตัดสินใจซื้อ [social media (3 อันดับ)],อิทธิพลต่อการตัดสินใจซื้อ [อินฟลู],อิทธิพลต่อการตัดสินใจซื้อ [ลูกค้า (ปากต่อปาก)],คำถามไม่ระบุชื่อ
5/7/2024 13:02:27,ไม่มีแบรนด์,25,5,ซื้อเป็นขวด,65,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ไม่ต้องเดินทาง (Online), ราคาถูก","ติ่งฟง, เฮลบูบอย, ลองบีช","ทดลองชิม, ลูกค้า (ปากต่อปาก)",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 13:12:02,ไม่มีแบรนด์,40,10,ซื้อเป็นขวด,65,ไม่ซื้อ Online เลย,"ไม่ซื้อออฟไลน์เลย, ทำเอง","ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม, คุ้นเคยกับร้านค้า",ทำเอง,"ลูกค้า (ปากต่อปาก), ",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 13:31:46,ไม่มีแบรนด์,25,10,ซื้อเป็นขวด,"55, 60",ไม่ซื้อ Online เลย,"Makro, ร้านขายอุปกรณ์เบเกอรี่","ไม่ต้องเดินทาง (Online), ราคาถูก, เปรียบเทียบราคา","ติ่งฟง, เฮลบูบอย","ทดลองชิม, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,มีเนื้อผลไม้ น้ำเชื่อมไม่เยอะ มีฮาลาล,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 13:45:41,ไม่มีแบรนด์,25,10,ซื้อเป็นขวด,"80, 85","Makro online, ร้านค้าทั่วไป","Makro, ร้านขายของชำ, ร้านขายอุปกรณ์เบเกอรี่","เดินทางสะดวกร้านใกล้บ้าน, มีสินค้าให้เลือก, เปรียบเทียบราคา, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","ป้ายโฆษณา, โฆษณาทาง social media  Facebook, TikTok, IG, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 13:53:14,ไม่มีแบรนด์,25,5,ซื้อเป็นขวด,70,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก",ติ่งฟง,"PC (พนักงานขาย), ทดลองชิม",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 13:58:40,ไม่มีแบรนด์,30,15,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,"Makro, ร้านขายของชำ, ร้านขายอุปกรณ์เบเกอรี่","ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก","เฟรชชี่, ติ่งฟง, เฮลบูบอย, ลองบีช",ทดลองชิม,T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:10:56,ไม่มีแบรนด์,25,5,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,Makro,เดินทางสะดวกร้านใกล้บ้าน,ติ่งฟง,ทดลองชิม,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:16:27,ไม่มีแบรนด์,25,15,ซื้อเป็นขวด,50,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ราคาถูก, มีสินค้าให้เลือก, เปรียบเทียบราคา, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย",ทดลองชิม,ไม่มีความคิดเห็น,ไม่ปรับปรุง,เพิ่มขึ้น,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,อยากให้มีเนื้อผลไม้เยอะๆ,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:23:21,ไม่มีแบรนด์,20,20,ซื้อเป็นขวด,50,เจ้าของร้านซื้อมาให้พนักงาน,เจ้าของร้านซื้อมาให้พนักงาน,"ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม, ","ติ่งฟง, เฮลบูบอย, ลองบีช",เป็นที่นิยม,T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,เพิ่มขึ้น,อยากให้มีรสชาติผลไม้มากกว่านี้,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:30:56,ไม่มีแบรนด์,20,20,ซื้อเป็นขวด,70,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม",ติ่งฟง,"ทดลองชิม, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:37:56,ไม่มีแบรนด์,25,5,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","ลูกค้า (ปากต่อปาก), ใช้มานานแล้ว",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:43:27,ไม่มีแบรนด์,5,30,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), ราคาถูก, มีสินค้าให้เลือก","ติ่งฟง, เฮลบูบอย",ลูกค้า (ปากต่อปาก),ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 14:48:50,ไม่มีแบรนด์,25,5,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,มาส่งถึงที่,"ติ่งฟง, เฮลบูบอย, ลองบีช",เป็นสินค้า standard ที่ร้านทั่วไปก็ใช้กันอยู่แล้ว,ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 15:12:31,ไม่มีแบรนด์,25,15,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), ราคาถูก","เฟรชชี่, ติ่งฟง",ทดลองชิม,T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,เพิ่มขึ้น,เพิ่มขึ้น,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,อยากให้เพิ่มเนื้อผลไม้,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 15:50:04,ไม่มีแบรนด์,30,5,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,Makro,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม",เฟรชชี่,ลูกค้า (ปากต่อปาก),ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 15:56:51,มีแบรนด์,50,15,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,Makro,"เดินทางสะดวกร้านใกล้บ้าน, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย, ลองบีช","ลูกค้า (ปากต่อปาก), ราคาถูก",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/7/2024 16:07:28,ไม่มีแบรนด์,20,5,ซื้อเป็นขวด,55,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก","ติ่งฟง, เฮลบูบอย","ทดลองชิม, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ช่วยลดต้นทุนเรื่องราคาลงมาอีก,2 รามคำแหง,,,,,,,,,,,,,,,,,,,,,
5/8/2024 9:22:29,ไม่มีแบรนด์,25-30,15,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก","ติ่งฟง, เฮลบูบอย, ลองบีช, Nature taste","ทดลองชิม, ลูกค้า (ปากต่อปาก)",L : Lesbian – ผู้หญิงที่รักผู้หญิงด้วยกัน,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 9:41:09,ไม่มีแบรนด์,25,10,ซื้อเป็นขวด,55,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), มีสินค้าให้เลือก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","ทดลองชิม, ลูกค้า (ปากต่อปาก)",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 9:54:44,ไม่มีแบรนด์,30,15,ซื้อเป็นขวด,60,"ไม่ซื้อ Online เลย","7-11, ร้านขายอุปกรณ์เบเกอรี่","เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม, คุ้นเคยกับร้านค้า, ซื้อก่อน จ่ายทีหลังได้","เฟรชชี่, ติ่งฟง, เฮลบูบอย, ลองบีช","PC (พนักงานขาย), บรรจุภัณฑ์สวย, ทดลองชิม, ลูกค้า (ปากต่อปาก)",L : Lesbian – ผู้หญิงที่รักผู้หญิงด้วยกัน,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,เน้นราคาถูก,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 10:29:16,ไม่มีแบรนด์,30,7,ซื้อเป็นขวด,50,ไม่ซื้อ Online เลย,"ร้านขายของชำ, ร้านขายอุปกรณ์เบเกอรี่","เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก","เฟรชชี่, ติ่งฟง, เฮลบูบอย","ทดลองชิม, ลูกค้า (ปากต่อปาก)",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 10:41:29,ไม่มีแบรนด์,30,7,ซื้อเป็นขวด,70,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ไม่ต้องเดินทาง (Online), เปรียบเทียบราคา, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","บรรจุภัณฑ์สวย, ทดลองชิม, ลูกค้า (ปากต่อปาก)",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 11:41:00,มีแบรนด์,45,15,ซื้อเป็นขวด,90,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก","เฟรชชี่, ติ่งฟง, เฮลบูบอย, ลองบีช","PC (พนักงานขาย), ทดลองชิม",G : Gay  ผู้ชายที่รักผู้ชายด้วยกัน,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 12:06:46,ไม่มีแบรนด์,30,10,ซื้อเป็นขวด,60,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"ไม่ต้องเดินทาง (Online), เปรียบเทียบราคา","เฟรชชี่, ติ่งฟง, เฮลบูบอย","PC (พนักงานขาย), ทดลองชิม",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 12:49:56,ไม่มีแบรนด์,70,10,ซื้อเป็นขวด,70,ไม่ซื้อ Online เลย,Makro,"เดินทางสะดวกร้านใกล้บ้าน, มีสินค้าให้เลือก, เปรียบเทียบราคา, โปรโมทชั่น (ลด แจก แถม)","ติ่งฟง, เฮลบูบอย, ลองบีช","ทดลองชิม, ลูกค้า (ปากต่อปาก)",ไม่มีความคิดเห็น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 13:03:11,ไม่มีแบรนด์,30,15,ซื้อเป็นขวด,50,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก, ไปเลือกซื้อสินค้าอื่น ๆ เพิ่มเติม","ติ่งฟง, เฮลบูบอย","ทดลองชิม, ลูกค้า (ปากต่อปาก)",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,เพิ่มขึ้น,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
5/8/2024 13:12:39,ไม่มีแบรนด์,30,5,ซื้อเป็นขวด,50,ไม่ซื้อ Online เลย,ร้านขายอุปกรณ์เบเกอรี่,"เดินทางสะดวกร้านใกล้บ้าน, ราคาถูก, มีสินค้าให้เลือก","ติ่งฟง, เฮลบูบอย, ลองบีช","ทดลองชิม, โฆษณาทาง social media  Facebook, TikTok, IG",T : Transgender – ผู้หญิงหรือผู้ชายที่ข้ามเพศ,ไม่ปรับปรุง,ไม่ปรับปรุง,ลดลง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ไม่ปรับปรุง,ถ้าเป็นรสส้มอยากให้มีความเปรี้ยวเพิ่มขึ้นมากกว่าหวานและเพิ่มเนื้อผลไม้ให้มากขึ้นกว่านี้อีกนิดนึง,3 รังสิต ลำลูกกา,,,,,,,,,,,,,,,,,,,,,
